Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Poland;Europe;;;;;;829;500;412;327;287;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;40817;36746;77563;34824;30950;65774;41904;38152;80056;38425;34856;73281;41365;37637;79002
Peru;;;;;;;;;;;;101002;96143;197145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85956;73987;159943;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Portugal;Europe;12;16;9;17;16;20;27;29;11;15;1596;1403;2999;1968;1718;3686;1933;1752;3685;1671;1395;3066;2039;1748;3787;2079;1777;3856;2306;1909;4215;4118;3417;7535;2782;2485;5267;3076;2864;5940;3226;2829;6055;3230;2917;6147
Qatar;Asia;1;0;0;0;3;14;15;15;16;9;569;548;1117;714;799;1513;1007;1205;2212;942;1056;1998;1316;1524;2840;1381;1747;3128;1312;1823;3135;1544;2255;3799;1779;2426;4205;2538;3238;5776;3252;4129;7381;3869;4859;8728
Reunion;Europe;0;1;0;0;;;;;;;92;81;173;133;112;245;147;90;237;110;67;177;119;65;184;99;82;181;0;0;0;0;0;0;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Romania;Europe;876;343;366;482;589;423;498;539;342;321;52802;46070;98872;48038;43193;91231;23997;21363;45360;18938;16807;35745;24427;23008;47435;39355;37239;76594;30940;29653;60593;35304;35560;70864;36160;36273;72433;36303;36924;73227;33693;33885;67578;47883;31700;79583
Russia;Europe;;;1095;1552;1096;1680;1928;2028;1401;1812;0;0;0;0;0;0;0;0;0;52042;49282;101324;70869;69575;140444;84097;83503;167600;109156;109706;218862;124048;125622;249670;131202;133884;265086;133095;141651;274746;161107;170962;332069;211372;222981;434353
Rwanda;Africa;44;32;65;64;43;158;139;199;242;161;3289;2288;5577;3611;2485;6096;4170;2361;6531;5099;2165;7264;7673;3136;10809;15194;5330;20524;14300;6113;20413;16441;7154;23595;24541;12638;37179;29791;19265;49056;30408;21703;52111;40644;27031;67675
Saint Barthelemy;Europe;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;17;58;54;28;82;8;10;18;11;10;21;15;7;22;28;11;39
Saint Kitts and Nevis ;South America, Central America, and the Caribbean;2;2;2;0;3;5;0;1;0;0;206;130;336;247;125;372;250;180;430;274;194;468;395;239;634;345;234;579;356;258;614;375;298;673;322;246;568;329;280;609;286;231;517;253;186;439
